127.0.0.1 - - [04/Sep/2018:15:16:19 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:21 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:21 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:21 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:24 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:24 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:24 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:24 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:41 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:41 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:15:16:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
